species
Prevotella buccae
Prevotella buccalis
Prevotella caccae
Prevotella conceptionensis
Prevotella copri
Prevotella corporis
Prevotella denticola
Prevotella intermedia
Prevotella jejuni
Prevotella melaninogenica
Prevotella nanceiensis
Prevotella nigrescens
Prevotella oralis
Prevotella oryzae
Prevotella pallens
Prevotella phoceensis
Prevotella provencensis
Prevotella timonensis
Prevotella veroralis
Prevotellamassilia timonensis
Promicromonospora flava
Propionibacterium acidifaciens
Propionibacterium acidipropionici
Propionibacterium acnes
Propionibacterium avidum
Propionibacterium freudenreichii
Propionibacterium granulosum
Propionibacterium namnetense
Propionibacterium propionicum
Propionimicrobium lymphophilum
Proteus mirabilis
Proteus penneri
Proteus vulgaris
Provencella massiliensis
Providencia alcalifaciens
Providencia heimbachae
Providencia rettgeri
Providencia stuartii
Pseudochrobactrum asaccharolyticum
Pseudoclavibacter alba
Pseudoclavibacter massiliense
Pseudoflavonifractor capillosus
Pseudoflavonifractor phocaeensis
Pseudomonas aeruginosa
Pseudomonas alcaligenes
Pseudomonas bauzanensis
Pseudomonas boreopolis
Pseudomonas caricapapayae
Pseudomonas chlororaphis
Pseudomonas fluorescens
Pseudomonas fragi
Pseudomonas fulva
Pseudomonas gessardii
Pseudomonas halophila
Pseudomonas japonica
Pseudomonas libanensis
Pseudomonas lundensis
Pseudomonas luteola
Pseudomonas massiliensis
Pseudomonas migulae
Pseudomonas monteilii
Pseudomonas mosselii
Pseudomonas oleovorans
Pseudomonas oryzihabitans
Pseudomonas putida
Pseudomonas rhodesiae
Pseudomonas saudiphocaensis
Pseudomonas stutzeri
Pseudomonas taetrolens
Pseudomonas tolaasii
Pseudomonas xanthomarina
Pseudoramibacter alactolyticus
Psychrobacter arenosus
Psychrobacter faecalis
Psychrobacter phenylpyruvicus
Psychrobacter pulmonis
Pyramidobacter piscolens
Raoultella ornithinolytica
Raoultella planticola
Raoultibacter massiliensis
Rarimicrobium hominis
Rhabdanaerobium thermarum
Rhizobacterium radiobacter
Rhodococcus equi
Rhodococcus erythropolis
Rhodococcus rhodochrous
Risungbinella massiliensis
Robinsoniella peoriensis
Romboutsia lituseburensis
Romboutsia massiliensis
Romboutsia timonensis
Roseburia faecis
Roseburia hominis
Roseburia intestinalis
Roseburia inulinivorans
Roseomonas genomospecies
Roseomonas gilardii
Roseomonas mucosa
Rothia aeria
Rothia dentocariosa
Rothia mucilaginosa
Rothia terrae
Rubeoparvulum massiliense
Rubiinfantum massiliense
Ruminiclostridium massiliense
Ruminococcus albus
Ruminococcus bicirculans
Ruminococcus bromii
Ruminococcus callidus
Ruminococcus faecis
Ruminococcus flavefaciens
Ruminococcus gauvreauii
Ruminococcus gnavus
Ruminococcus lactaris
Ruminococcus massiliensis
Ruminococcus obeum
Ruminococcus phoceensis
Ruminococcus torques
Rummeliibacillus pycnus
Rummeliibacillus suwonensis
Rummeliibacilus stabekisii
Ruthenibacterium lactatiformans
Salimicrobium jeotgali
Salinisphaera halophila
Salinivibrio costicola
Salmonella enterica
Salmonella enteritidis
Salmonella typhi
Sanguibacteroides massiliense
Sarcina ventriculi
Selenomonas ruminantium
Selenomonas sputigena
Sellimonas intestinalis
Senegalia massiliensis
Senegalimassilia anaerobia
Serratia marcescens
Serratia ureilytica
Shewanella xiamenensis
Shigella boydii
Shigella dysenteriae
